CE30_Copyright	Copyright
_Blit_Acceleration	Blit Acceleration (Windows CE 3.0 Device Driver Developement)
_TOOLS_MENUEX_Resource	MENUEX Resource
_Tools_ACCELERATORS_Resource	ACCELERATORS Resource
_Tools_AUTO3STATE_Control	AUTO3STATE Control
_Tools_AUTOCHECKBOX_Control	AUTOCHECKBOX Control
_Tools_AUTORADIOBUTTON_Control	AUTORADIOBUTTON Control
_Tools_BITMAP_Resource	BITMAP Resource
_Tools_CAPTION_Statement	CAPTION Statement
_Tools_CHARACTERISTICS_Statement	CHARACTERISTICS Statement
_Tools_CHECKBOX_Control	CHECKBOX Control
_Tools_CLASS_Statement	CLASS Statement
_Tools_COMBOBOX_Control	COMBOBOX Control
_Tools_CONTROL_Control	CONTROL Control
_Tools_CTEXT_Control	CTEXT Control
_Tools_CURSOR_Resource	CURSOR Resource
_Tools_DEFPUSHBUTTON_Control	DEFPUSHBUTTON Control
_Tools_DIALOGEX_Resource	DIALOGEX Resource
_Tools_DIALOG_Resource	DIALOG Resource
_Tools_EDITTEXT_Control	EDITTEXT Control
_Tools_EXSTYLE_Statement	EXSTYLE Statement
_Tools_FONT_Resource	FONT Resource
_Tools_FONT_Statement	FONT Statement
_Tools_GROUPBOX_Control	GROUPBOX Control
_Tools_ICON_Control	ICON Control
_Tools_ICON_Resource	ICON Resource
_Tools_LANGUAGE_Statement	LANGUAGE Statement
_Tools_LISTBOX_Control	LISTBOX Control
_Tools_LTEXT_Control	LTEXT Control
_Tools_MENUITEM_Statement	MENUITEM Statement
_Tools_MENU_Resource	MENU Resource
_Tools_MENU_Statement	MENU Statement
_Tools_MESSAGETABLE_Resource	MESSAGETABLE Resource
_Tools_POPUP_Resource	POPUP Resource
_Tools_PUSHBUTTON_Control	PUSHBUTTON Control
_Tools_RADIOBUTTON_Control	RADIOBUTTON Control
_Tools_RCDATA_Resource	RCDATA Resource
_Tools_RTEXT_Control	RTEXT Control
_Tools_Resource_Definition_Statements	Resource-Definition Statements
_Tools_SCROLLBAR_Control	SCROLLBAR Control
_Tools_STATE3_Control	STATE3 Control
_Tools_STRINGTABLE_Resource	STRINGTABLE Resource
_Tools_STYLE_Statement	STYLE Statement
_Tools_Sample_Resource_Definition_File	Sample Resource-Definition File
_Tools_User_Defined_Resource	User-Defined Resource
_Tools_VERSIONINFO_Resource	VERSIONINFO Resource
_Tools_VERSION_Statement	VERSION Statement
_WCESDK_HREPLOBJ	HREPLOBJ
_pbplatman_Code_Sample	Code Sample
_sdk_Error_Values	Error Value
_sdk_Formatting_Specifications	Formatting Specifications
_sdk_Net_Errors___Alphabetical_Order	Net Errors - Alphabetical Order
_sdk_Net_Errors___Numerical_Order	Net Errors - Numerical Order
_sdk_RAS_Error_Values	RAS Error Values
_sdk_System_Errors___Alphabetical_Order	System Errors - Alphabetical Order
_sdk_System_Errors___Numerical_Order	System Errors - Numerical Order
_tools_Common_Control_Parameters	Common Control Parameters
_tools_Common_Resource_Attributes	Common Resource Attributes
_tools_StringFileInfo_Block	StringFileInfo Block
_tools_VarFileInfo_Block	VarFileInfo Block
_wcepb_ADDCONNECT_DLGPARAMS	ADDCONNECT_DLGPARAMS
_wcepb_ASSERT	ASSERT
_wcepb_ASSERTMSG	ASSERTMSG
_wcepb_AdapterIPProperties	AdapterIPProperties
_wcepb_BatteryDrvrGetStatus	BatteryDrvrGetStatus
_wcepb_BatteryGetLifeTimeInfo	BatteryGetLifeTimeInfo
_wcepb_CEL_CRITSEC_ENTER	CEL_CRITSEC_ENTER
_wcepb_CEL_CRITSEC_LEAVE	CEL_CRITSEC_LEAVE
_wcepb_CEL_DATA_LOSS	CEL_DATA_LOSS
_wcepb_CEL_EVENT_CLOSE	CEL_EVENT_CLOSE
_wcepb_CEL_EVENT_CREATE	CEL_EVENT_CREATE
_wcepb_CEL_EVENT_DELETE	CEL_EVENT_DELETE
_wcepb_CEL_EVENT_PULSE	CEL_EVENT_PULSE
_wcepb_CEL_EVENT_RESET	CEL_EVENT_RESET
_wcepb_CEL_EVENT_SET	CEL_EVENT_SET
_wcepb_CEL_HEADER	CEL_HEADER
_wcepb_CEL_HEAP_ALLOC	CEL_HEAP_ALLOC
_wcepb_CEL_HEAP_CREATE	CEL_HEAP_CREATE
_wcepb_CEL_HEAP_DESTROY	CEL_HEAP_DESTROY
_wcepb_CEL_HEAP_FREE	CEL_HEAP_FREE
_wcepb_CEL_HEAP_REALLOC	CEL_HEAP_REALLOC
_wcepb_CEL_INTERRUPTS	CEL_INTERRUPTS
_wcepb_CEL_INT_DATA	CEL_INT_DATA
_wcepb_CEL_LOG_MARKER	CEL_LOG_MARKER
_wcepb_CEL_MODULE_FREE	CEL_MODULE_FREE
_wcepb_CEL_MODULE_LOAD	CEL_MODULE_LOAD
_wcepb_CEL_MUTEX_CLOSE	CEL_MUTEX_CLOSE
_wcepb_CEL_MUTEX_CREATE	CEL_MUTEX_CREATE
_wcepb_CEL_MUTEX_DELETE	CEL_MUTEX_DELETE
_wcepb_CEL_MUTEX_RELEASE	CEL_MUTEX_RELEASE
_wcepb_CEL_PROCESS_CLOSE	CEL_PROCESS_CLOSE
_wcepb_CEL_PROCESS_CREATE	CEL_PROCESS_CREATE
_wcepb_CEL_PROCESS_DELETE	CEL_PROCESS_DELETE
_wcepb_CEL_PROCESS_TERMINATE	CEL_PROCESS_TERMINATE
_wcepb_CEL_SEM_CLOSE	CEL_SEM_CLOSE
_wcepb_CEL_SEM_CREATE	CEL_SEM_CREATE
_wcepb_CEL_SEM_DELETE	CEL_SEM_DELETE
_wcepb_CEL_SEM_RELEASE	CEL_SEM_RELEASE
_wcepb_CEL_SLEEP	CEL_SLEEP
_wcepb_CEL_SYSTEM_INVERT	CEL_SYSTEM_INVERT
_wcepb_CEL_SYSTEM_PAGE	CEL_SYSTEM_PAGE
_wcepb_CEL_SYSTEM_TLB	CEL_SYSTEM_TLB
_wcepb_CEL_THREAD_CLOSE	CEL_THREAD_CLOSE
_wcepb_CEL_THREAD_CREATE	CEL_THREAD_CREATE
_wcepb_CEL_THREAD_DELETE	CEL_THREAD_DELETE
_wcepb_CEL_THREAD_MIGRATE	CEL_THREAD_MIGRATE
_wcepb_CEL_THREAD_PRIORITY	CEL_THREAD_PRIORITY
_wcepb_CEL_THREAD_QUANTUM	CEL_THREAD_QUANTUM
_wcepb_CEL_THREAD_RESUME	CEL_THREAD_RESUME
_wcepb_CEL_THREAD_SUSPEND	CEL_THREAD_SUSPEND
_wcepb_CEL_THREAD_SWITCH	CEL_THREAD_SWITCH
_wcepb_CEL_THREAD_TERMINATE	CEL_THREAD_TERMINATE
_wcepb_CEL_VIRTUAL_ALLOC	CEL_VIRTUAL_ALLOC
_wcepb_CEL_VIRTUAL_COPY	CEL_VIRTUAL_COPY
_wcepb_CEL_VIRTUAL_FREE	CEL_VIRTUAL_FREE
_wcepb_CEL_WAIT_MULTI	CEL_WAIT_MULTI
_wcepb_CEProcessorType	CEProcessorType
_wcepb_CacheErrorHandler	CacheErrorHandler
_wcepb_CacheSync	CacheSync
_wcepb_CeChangeDatabaseLCID	CeChangeDatabaseLCID
_wcepb_CeLogData	CeLogData
_wcepb_CeLogInit	CeLogInit
_wcepb_CeLogInterrupt	CeLogInterrupt
_wcepb_CeLogReSync	CeLogReSync
_wcepb_CeLogSetZones	CeLogSetZones
_wcepb_CeLogThreadMigrate	CeLogThreadMigrate
_wcepb_CeNotifyPrivate_ClearUserAlarm	CeNotifyPrivate_ClearUserAlarm
_wcepb_CeNotifyPrivate_DeleteNotification	CeNotifyPrivate_DeleteNotification
_wcepb_CeNotifyPrivate_FilterType	CeNotifyPrivate_FilterType
_wcepb_CeNotifyPrivate_Lock	CeNotifyPrivate_Lock
_wcepb_CeNotifyPrivate_Reschedule	CeNotifyPrivate_Reschedule
_wcepb_CeNotifyPrivate_SetUserAlarm	CeNotifyPrivate_SetUserAlarm
_wcepb_CeNotifyPrivate_TranslateOID	CeNotifyPrivate_TranslateOID
_wcepb_CeNotifyPrivate_Unlock	CeNotifyPrivate_Unlock
_wcepb_CeNotifyPublic_DisposeOfPacket	CeNotifyPublic_DisposeOfPacket
_wcepb_CeNotifyPublic_FilterEvent	CeNotifyPublic_FilterEvent
_wcepb_CeNotifyPublic_FilterUserNotification	CeNotifyPublic_FilterUserNotification
_wcepb_CeNotifyPublic_Initialize	CeNotifyPublic_Initialize
_wcepb_CeNotifyPublic_NewPacket	CeNotifyPublic_NewPacket
_wcepb_CeNotifyPublic_PresentSettingsBox	CeNotifyPublic_PresentSettingsBox
_wcepb_CeNotifyPublic_UIWndProc	CeNotifyPublic_UIWndProc
_wcepb_CeNotifyPublic_UserAlarmSignalled	CeNotifyPublic_UserAlarmSignalled
_wcepb_CertifyModule	CertifyModule
_wcepb_CertifyModuleFinal	CertifyModuleFinal
_wcepb_CertifyModuleInit	CertifyModuleInit
_wcepb_Certifying_an_Application	Certifying an Application
_wcepb_CheckPassword	CheckPassword
_wcepb_Common_Controls	Common Controls
_wcepb_Common_Dialog_Boxes	Common Dialog Boxes
_wcepb_ConnectionDialog	ConnectionDialog
_wcepb_Control_Panel_Components	Control Panel Components
_wcepb_Controlling_the_On_to_Suspend_Power_State	Controlling the On-to-Suspend Power State
_wcepb_CreateHandler	CreateHandler
_wcepb_CreateTicket	CreateTicket
_wcepb_Creating_a_Custom_Shell	Creating a Custom Shell
_wcepb_Creating_a_Signature	Creating a Signature
_wcepb_Creating_a_Trusted_Environment	Creating a Trusted Environment
_wcepb_CurMSec	CurMSec
_wcepb_Customizing_Notification_Events	Customizing Notification Events
_wcepb_DEBUGCHK	DEBUGCHK
_wcepb_DEBUGLED	DEBUGLED
_wcepb_DEBUGMSG	DEBUGMSG
_wcepb_DEBUGREGISTER	DEBUGREGISTER
_wcepb_DEBUGZONE	DEBUGZONE
_wcepb_DEVICE_ID	DEVICE_ID
_wcepb_DataHandler	DataHandler
_wcepb_Debug_Messages_for_the_Notification_Subsystem	Debug Messages for the Notification Subsystem
_wcepb_DeleteHandler	DeleteHandler
_wcepb_DeleteTicket	DeleteTicket
_wcepb_DiffMSec	DiffMSec
_wcepb_DisassociateSession	DisassociateSession
_wcepb_DisconnectDialog	DisconnectDialog
_wcepb_EDBG_ADAPTER	EDBG_ADAPTER
_wcepb_EDBG_ADDR	EDBG_ADDR
_wcepb_EDBG_BOOTME_DATA	EDBG_BOOTME_DATA
_wcepb_EDBG_BOOT_CALLBACK_FUNC	EDBG_BOOT_CALLBACK_FUNC
_wcepb_ERRORMSG	ERRORMSG
_wcepb_EdbgCancelRegisterClient	EdbgCancelRegisterClient
_wcepb_EdbgDeregisterBootCallback	EdbgDeregisterBootCallback
_wcepb_EdbgDeregisterClient	EdbgDeregisterClient
_wcepb_EdbgGetDeviceInfo	EdbgGetDeviceInfo
_wcepb_EdbgInit	EdbgInit
_wcepb_EdbgOutputDebugString	EdbgOutputDebugString
_wcepb_EdbgRecv	EdbgRecv
_wcepb_EdbgRegisterBootCallback	EdbgRegisterBootCallback
_wcepb_EdbgRegisterClient_Development_Workstation_	EdbgRegisterClient (Development Workstation)
_wcepb_EdbgRegisterClient_Target_Device_	EdbgRegisterClient (Target Device)
_wcepb_EdbgResetDevice	EdbgResetDevice
_wcepb_EdbgSend	EdbgSend
_wcepb_EdbgSendUDP	EdbgSendUDP
_wcepb_EdbgSetDebug_Development_Workstation_	EdbgSetDebug (Development Workstation)
_wcepb_EdbgSetDebug_Target_Device_	EdbgSetDebug (Target Device)
_wcepb_EditSession	EditSession
_wcepb_EditorDeregister	EditorDeregister
_wcepb_EditorInitialize	EditorInitialize
_wcepb_Enabling_Shell_Callback_Functions	Enabling Shell Callback Functions
_wcepb_Enabling_a_Backlight	Enabling a Backlight
_wcepb_FATUIDATA	FATUIDATA
_wcepb_FATUIEvent	FATUIEvent
_wcepb_ForcePageout	ForcePageout
_wcepb_GETDRIVERNAMEPARMS	GETDRIVERNAMEPARMS
_wcepb_Generating_Notifications	Generating Notifications
_wcepb_GetCurrentPermissions	GetCurrentPermissions
_wcepb_GetDriverName	GetDriverName
_wcepb_GetEPC	GetEPC
_wcepb_GetIPAddress	GetIPAddress
_wcepb_GetIdleTime	GetIdleTime
_wcepb_GetNetString	GetNetString
_wcepb_GetOwnerProcess	GetOwnerProcess
_wcepb_GetPasswordActive	GetPasswordActive
_wcepb_GetResourcePassword	GetResourcePassword
_wcepb_GetSystemMemoryDivision	GetSystemMemoryDivision
_wcepb_GetTickCount	GetTickCount
_wcepb_GetUsernamePassword	GetUsernamePassword
_wcepb_HalGetBusData	HalGetBusData
_wcepb_HalGetBusDataByOffset	HalGetBusDataByOffset
_wcepb_HalSetBusData	HalSetBusData
_wcepb_HalSetBusDataByOffset	HalSetBusDataByOffset
_wcepb_HalTranslateBusAddress	HalTranslateBusAddress
_wcepb_Hiding_System_Sound_Events	Hiding System Sound Events
_wcepb_HookInterrupt	HookInterrupt
_wcepb_ILTIMING_MESSAGE	ILTIMING_MESSAGE
_wcepb_IMAGE_DATA_DIRECTORY	IMAGE_DATA_DIRECTORY
_wcepb_INTERRUPTS_OFF	INTERRUPTS_OFF
_wcepb_INTERRUPTS_ON	INTERRUPTS_ON
_wcepb_IOCTL_COLLECTOR_REGISTER	IOCTL_COLLECTOR_REGISTER
_wcepb_IOCTL_COLLECTOR_SEND	IOCTL_COLLECTOR_SEND
_wcepb_IOCTL_COLLECTOR_UNREGISTER	IOCTL_COLLECTOR_UNREGISTER
_wcepb_IOCTL_CONSOLE_SETCONTROLCHANDLER	IOCTL_CONSOLE_SETCONTROLCHANDLER
_wcepb_IOCTL_DISK_FORMAT_VOLUME	IOCTL_DISK_FORMAT_VOLUME
_wcepb_IOCTL_DISK_SCAN_VOLUME	IOCTL_DISK_SCAN_VOLUME
_wcepb_IOCTL_EDBG_DEREGISTER_CLIENT	IOCTL_EDBG_DEREGISTER_CLIENT
_wcepb_IOCTL_EDBG_RECV	IOCTL_EDBG_RECV
_wcepb_IOCTL_EDBG_REGISTER_CLIENT	IOCTL_EDBG_REGISTER_CLIENT
_wcepb_IOCTL_EDBG_SEND	IOCTL_EDBG_SEND
_wcepb_IOCTL_EDBG_SET_DEBUG	IOCTL_EDBG_SET_DEBUG
_wcepb_IOCTL_HAL_GET_DEVICEID	IOCTL_HAL_GET_DEVICEID
_wcepb_IOCTL_HAL_GET_DEVICE_INFO	IOCTL_HAL_GET_DEVICE_INFO
