#page_id	source_id	path	title	page_class	symbol_count	kind	symbol	declaration_origin	header	library	os_versions_raw	declaration_status	duplicate_of	source_url
CE30_Copyright	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/CE30_Copyright.html	Copyright	identifier_title_no_requirements	0		Copyright	none				no_candidate		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::CE30_Copyright
_Blit_Acceleration	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Blit_Acceleration.html	Blit Acceleration (Windows CE 3.0 Device Driver Developement)	concept_or_overview	0			none				no_candidate		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Blit_Acceleration
_TOOLS_MENUEX_Resource	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_TOOLS_MENUEX_Resource.html	MENUEX Resource	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_TOOLS_MENUEX_Resource
_Tools_ACCELERATORS_Resource	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_ACCELERATORS_Resource.html	ACCELERATORS Resource	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_ACCELERATORS_Resource
_Tools_AUTO3STATE_Control	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_AUTO3STATE_Control.html	AUTO3STATE Control	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_AUTO3STATE_Control
_Tools_AUTOCHECKBOX_Control	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_AUTOCHECKBOX_Control.html	AUTOCHECKBOX Control	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_AUTOCHECKBOX_Control
_Tools_AUTORADIOBUTTON_Control	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_AUTORADIOBUTTON_Control.html	AUTORADIOBUTTON Control	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_AUTORADIOBUTTON_Control
_Tools_BITMAP_Resource	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_BITMAP_Resource.html	BITMAP Resource	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_BITMAP_Resource
_Tools_CAPTION_Statement	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_CAPTION_Statement.html	CAPTION Statement	concept_or_overview	0			none				first_line_not_a_declaration		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_CAPTION_Statement
_Tools_CHARACTERISTICS_Statement	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_CHARACTERISTICS_Statement.html	CHARACTERISTICS Statement	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_CHARACTERISTICS_Statement
_Tools_CHECKBOX_Control	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_CHECKBOX_Control.html	CHECKBOX Control	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_CHECKBOX_Control
_Tools_CLASS_Statement	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_CLASS_Statement.html	CLASS Statement	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_CLASS_Statement
_Tools_COMBOBOX_Control	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_COMBOBOX_Control.html	COMBOBOX Control	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_COMBOBOX_Control
_Tools_CONTROL_Control	chm-windows-ce-3.0	docs/chm/windows-ce-3.0/_Tools_CONTROL_Control.html	CONTROL Control	concept_or_overview	0			none				unrecognised_declaration_form		archives/windows-ce-3.0/WindowsCE3.0_DocumentationArchive.zip::_Tools_CONTROL_Control
