#page_id	source_id	path	title	page_class	symbol_count	kind	symbol	declaration_origin	header	library	os_versions_raw	declaration_status	duplicate_of	source_url
aa446904	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446904.html	Application Verifier for Windows CE and Windows Mobile 5.0 (Windows CE 5.0)	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446904(v=msdn.10)
aa446905	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446905.html	Microsoft Windows CE 5.0 Board Support Package, Boot Loader, and Kernel Startup Sequence	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446905(v=msdn.10)
aa446906	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446906.html	How to Create a .NET Compact Framework Application by Using Visual Studio .NET 2003 (Windows CE 5.0)	concept_or_overview	0			none				statement_sequence		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446906(v=msdn.10)
aa446907	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446907.html	How to Use eMbedded Visual C++ 4.0 to Create an Application for the Windows CE 4.1 Emulator (Windows CE 5.0)	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446907(v=msdn.10)
aa446908	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446908.html	Flashing a Windows CE 5.0 Device Without Using Platform Builder	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446908(v=msdn.10)
aa446909	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446909.html	Implementing a Network Service on Windows CE (Windows CE 5.0)	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446909(v=msdn.10)
aa446910	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446910.html	How to Create, Customize, and Debug an Image for the Windows CE 5.0 Emulator	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446910(v=msdn.10)
aa446911	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446911.html	How to Use Remote Tools to Track Memory Leaks in Windows CE Applications (Windows CE 5.0)	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446911(v=msdn.10)
aa446912	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446912.html	Windows CE 5.0: Comparing Workspaces	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446912(v=msdn.10)
aa446913	mslearn-windows-ce-5.0	docs/mslearn/windows-ce-5.0/aa446913.html	How to Develop and Test Device Drivers in Windows CE 5.0	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446913(v=msdn.10)
