#page_id	source_id	path	title	page_class	symbol_count	kind	symbol	declaration_origin	header	library	os_versions_raw	declaration_status	duplicate_of	source_url
aa446926	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/aa446926.html	Migrating from Windows CE .NET to Windows CE 5.0	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/aa446926(v=msdn.10)
ms836289	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836289.html	Writing Reliable Native Code	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836289(v=msdn.10)
ms836325	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836325.html	Windows CE .NET Advanced Memory Management	prose_page_code_fragment	1	function	VirtualAlloc	first_code_block				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836325(v=msdn.10)
ms836431	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836431.html	Application Development Landscape for Windows CE .NET	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836431(v=msdn.10)
ms836535	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836535.html	Benchmarking Real-time Determinism in Microsoft Windows CE	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836535(v=msdn.10)
ms836642	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836642.html	Building DMA Drivers for the Windows CE .NET Emulator	prose_page_code_fragment	1	function	GetVirtualMachineCount	code_block_1				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836642(v=msdn.10)
ms836754	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836754.html	Building Native C++ Applications that Will Run on Microsoft Pocket PC and Windows CE .NET Platforms	prose_page_code_fragment	1	function	CelsiusToFahrenheit	first_code_block				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836754(v=msdn.10)
ms836762	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836762.html	Building XML Web Services in Native Code for Windows CE .NET	concept_or_overview	0			code_block_3				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836762(v=msdn.10)
ms836770	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836770.html	How Windows CE .NET is Designed for Quality of Service	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836770(v=msdn.10)
ms836771	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836771.html	Certificate Enrollment in Windows CE .NET	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836771(v=msdn.10)
ms836772	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836772.html	Building and Testing Devices with the Windows CE .NET Test Kit (CETK)	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836772(v=msdn.10)
ms836773	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836773.html	Stress Testing: Using Modular Stress Test to Test Platforms and Components	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836773(v=msdn.10)
ms836774	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836774.html	Choosing a Windows Embedded API: Win32 vs. the .NET Compact Framework	concept_or_overview	0			none				statement_sequence		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836774(v=msdn.10)
ms836775	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836775.html	Windows Media Overview and Optimization for Windows CE .NET 4.2	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836775(v=msdn.10)
ms836776	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836776.html	Developing Custom Controls in C# with Smart Device Extensions	concept_or_overview	0			code_block_2				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836776(v=msdn.10)
ms836779	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836779.html	Diagnosing Deadlock-Stall Conditions Within Microsoft Windows CE .NET	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836779(v=msdn.10)
ms836780	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836780.html	Windows CE .NET and the Extensible Firmware Interface (EFI)	concept_or_overview	0			first_code_block				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836780(v=msdn.10)
ms836781	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836781.html	Critical Information about the Windows CE .NET Emulator	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836781(v=msdn.10)
ms836782	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836782.html	Implementing Fault Tolerant Systems with Windows CE .NET	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836782(v=msdn.10)
ms836783	mslearn-windows-ce-net-4x	docs/mslearn/windows-ce-net-4x/ms836783.html	Hardware-assisted Debugging with Platform Builder 4.2	concept_or_overview	0			none				unrecognised_declaration_form		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/ms836783(v=msdn.10)
