#page_id	source_id	path	title	page_class	symbol_count	kind	symbol	declaration_origin	header	library	os_versions_raw	declaration_status	duplicate_of	source_url
bb331824	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb331824.html	Windows Embedded CE 6.0 Advanced Memory Management	concept_or_overview	0			none				no_candidate		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb331824(v=msdn.10)
bb509771	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509771.html	CommandTransport.ToString Method (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509771(v=winembedded.60)
bb509773	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509773.html	CommandPacketEventArgs.CommandPacketOut Property (Microsoft.RemoteToolSdk.DeviceComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509773(v=winembedded.60)
bb509776	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509776.html	PluginComponent.ToString Method (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509776(v=winembedded.60)
bb509778	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509778.html	PluginData.CommandTransport Property (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509778(v=winembedded.60)
bb509783	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509783.html	PluginDataView Constructor (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509783(v=winembedded.60)
bb509785	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509785.html	CommandTransport.ReceiveCommand Method (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509785(v=winembedded.60)
bb509788	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509788.html	CommandPacket.AddParameterWORD Method (Microsoft.RemoteToolSdk.DeviceComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509788(v=winembedded.60)
bb509791	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509791.html	CommandUICommand Methods (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509791(v=winembedded.60)
bb509795	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509795.html	PluginData.RunOnPrimaryThread Method (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509795(v=winembedded.60)
bb509797	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509797.html	CommandPacket.GetParameterWORD Method (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509797(v=winembedded.60)
bb509798	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509798.html	PluginNode Constructor (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509798(v=winembedded.60)
bb509801	mslearn-windows-embedded-ce-6.0	docs/mslearn/windows-embedded-ce-6.0/bb509801.html	PluginComponent.OnGetAllDeviceData Method (Microsoft.RemoteToolSdk.PluginComponents)	out_of_scope_managed_surface	0			none				not_attempted		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/bb509801(v=winembedded.60)
