#page_id	source_id	path	title	page_class	symbol_count	kind	symbol	declaration_origin	header	library	os_versions_raw	declaration_status	duplicate_of	source_url
wm65-Designing-Full-Screen-Dialog-Boxes	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-Designing-Full-Screen-Dialog-Boxes.html	Designing Full-Screen Dialog Boxes	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-Designing-Full-Screen-Dialog-Boxes
wm65-FILECHANGEINFO	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-FILECHANGEINFO.html	FILECHANGEINFO	symbol_page	1	struct	FILECHANGEINFO	syntax_section+glued_identifier				matched_glued		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-FILECHANGEINFO
wm65-GN_CONTEXTMENU	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-GN_CONTEXTMENU.html	GN_CONTEXTMENU	identifier_title_no_requirements	0		GN_CONTEXTMENU	none				statement_sequence		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-GN_CONTEXTMENU
wm65-How-to-Display-a-Shortcut-Menu-from-an-Existing-Resource	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-How-to-Display-a-Shortcut-Menu-from-an-Existing-Resource.html	How to Display a Shortcut Menu from an Existing Resource	concept_or_overview	0			none				statement_keyword		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-How-to-Display-a-Shortcut-Menu-from-an-Existing-Resource
wm65-How-to-Override-the-Back-Key-for-Dialog-Boxes-with-Edit-Controls	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-How-to-Override-the-Back-Key-for-Dialog-Boxes-with-Edit-Controls.html	How to Override the Back Key for Dialog Boxes with Edit Controls	concept_or_overview	0			none				statement_sequence		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-How-to-Override-the-Back-Key-for-Dialog-Boxes-with-Edit-Controls
wm65-How-to-Prevent-Display-of-Smart-Minimize-and-OK-Buttons-in-Dialog-Boxes	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-How-to-Prevent-Display-of-Smart-Minimize-and-OK-Buttons-in-Dialog-Boxes.html	How to Prevent Display of Smart Minimize and OK Buttons in Dialog Boxes	concept_or_overview	0			none				first_line_not_a_declaration		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-How-to-Prevent-Display-of-Smart-Minimize-and-OK-Buttons-in-Dialog-Boxes
wm65-How-to:-Suspend-the-Device	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-How-to:-Suspend-the-Device.html	How to: Suspend the Device	concept_or_overview	0			none				statement_sequence		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-How-to:-Suspend-the-Device
wm65-IIMCallback2::SendAlternatives2	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-IIMCallback2::SendAlternatives2.html	IIMCallback2::SendAlternatives2	symbol_page	1	interface_method	SendAlternatives2	syntax_section				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-IIMCallback2::SendAlternatives2
wm65-IIMCallback::SendCharEvents	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-IIMCallback::SendCharEvents.html	IIMCallback::SendCharEvents	symbol_page	1	interface_method	SendCharEvents	syntax_section				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-IIMCallback::SendCharEvents
wm65-IIMCallbackEx::SendAlternatives	supplementary-windows-mobile-6.5	supplementary/windows-mobile-6.5/wm65-IIMCallbackEx::SendAlternatives.html	IIMCallbackEx::SendAlternatives	symbol_page	1	interface_method	SendAlternatives	syntax_section				matched		https://learn.microsoft.com/en-us/previous-versions/windows/embedded/wm65-IIMCallbackEx::SendAlternatives
