#page_class	page_id	source_id	title	declaration_status	path
identifier_title_no_requirements	CE30_Copyright	chm-windows-ce-3.0	Copyright	no_candidate	docs/chm/windows-ce-3.0/CE30_Copyright.html
concept_or_overview	_Blit_Acceleration	chm-windows-ce-3.0	Blit Acceleration (Windows CE 3.0 Device Driver Developement)	no_candidate	docs/chm/windows-ce-3.0/_Blit_Acceleration.html
concept_or_overview	_TOOLS_MENUEX_Resource	chm-windows-ce-3.0	MENUEX Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_TOOLS_MENUEX_Resource.html
concept_or_overview	_Tools_ACCELERATORS_Resource	chm-windows-ce-3.0	ACCELERATORS Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_ACCELERATORS_Resource.html
concept_or_overview	_Tools_AUTO3STATE_Control	chm-windows-ce-3.0	AUTO3STATE Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_AUTO3STATE_Control.html
concept_or_overview	_Tools_AUTOCHECKBOX_Control	chm-windows-ce-3.0	AUTOCHECKBOX Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_AUTOCHECKBOX_Control.html
concept_or_overview	_Tools_AUTORADIOBUTTON_Control	chm-windows-ce-3.0	AUTORADIOBUTTON Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_AUTORADIOBUTTON_Control.html
concept_or_overview	_Tools_BITMAP_Resource	chm-windows-ce-3.0	BITMAP Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_BITMAP_Resource.html
concept_or_overview	_Tools_CAPTION_Statement	chm-windows-ce-3.0	CAPTION Statement	first_line_not_a_declaration	docs/chm/windows-ce-3.0/_Tools_CAPTION_Statement.html
concept_or_overview	_Tools_CHARACTERISTICS_Statement	chm-windows-ce-3.0	CHARACTERISTICS Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_CHARACTERISTICS_Statement.html
concept_or_overview	_Tools_CHECKBOX_Control	chm-windows-ce-3.0	CHECKBOX Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_CHECKBOX_Control.html
concept_or_overview	_Tools_CLASS_Statement	chm-windows-ce-3.0	CLASS Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_CLASS_Statement.html
concept_or_overview	_Tools_COMBOBOX_Control	chm-windows-ce-3.0	COMBOBOX Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_COMBOBOX_Control.html
concept_or_overview	_Tools_CONTROL_Control	chm-windows-ce-3.0	CONTROL Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_CONTROL_Control.html
concept_or_overview	_Tools_CTEXT_Control	chm-windows-ce-3.0	CTEXT Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_CTEXT_Control.html
concept_or_overview	_Tools_CURSOR_Resource	chm-windows-ce-3.0	CURSOR Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_CURSOR_Resource.html
concept_or_overview	_Tools_DEFPUSHBUTTON_Control	chm-windows-ce-3.0	DEFPUSHBUTTON Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_DEFPUSHBUTTON_Control.html
concept_or_overview	_Tools_DIALOGEX_Resource	chm-windows-ce-3.0	DIALOGEX Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_DIALOGEX_Resource.html
concept_or_overview	_Tools_DIALOG_Resource	chm-windows-ce-3.0	DIALOG Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_DIALOG_Resource.html
concept_or_overview	_Tools_EDITTEXT_Control	chm-windows-ce-3.0	EDITTEXT Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_EDITTEXT_Control.html
concept_or_overview	_Tools_EXSTYLE_Statement	chm-windows-ce-3.0	EXSTYLE Statement	no_candidate	docs/chm/windows-ce-3.0/_Tools_EXSTYLE_Statement.html
concept_or_overview	_Tools_FONT_Resource	chm-windows-ce-3.0	FONT Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_FONT_Resource.html
concept_or_overview	_Tools_FONT_Statement	chm-windows-ce-3.0	FONT Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_FONT_Statement.html
concept_or_overview	_Tools_GROUPBOX_Control	chm-windows-ce-3.0	GROUPBOX Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_GROUPBOX_Control.html
concept_or_overview	_Tools_ICON_Control	chm-windows-ce-3.0	ICON Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_ICON_Control.html
concept_or_overview	_Tools_ICON_Resource	chm-windows-ce-3.0	ICON Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_ICON_Resource.html
concept_or_overview	_Tools_LANGUAGE_Statement	chm-windows-ce-3.0	LANGUAGE Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_LANGUAGE_Statement.html
concept_or_overview	_Tools_LISTBOX_Control	chm-windows-ce-3.0	LISTBOX Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_LISTBOX_Control.html
concept_or_overview	_Tools_LTEXT_Control	chm-windows-ce-3.0	LTEXT Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_LTEXT_Control.html
concept_or_overview	_Tools_MENUITEM_Statement	chm-windows-ce-3.0	MENUITEM Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_MENUITEM_Statement.html
concept_or_overview	_Tools_MENU_Resource	chm-windows-ce-3.0	MENU Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_MENU_Resource.html
concept_or_overview	_Tools_MENU_Statement	chm-windows-ce-3.0	MENU Statement	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_MENU_Statement.html
concept_or_overview	_Tools_MESSAGETABLE_Resource	chm-windows-ce-3.0	MESSAGETABLE Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_MESSAGETABLE_Resource.html
concept_or_overview	_Tools_POPUP_Resource	chm-windows-ce-3.0	POPUP Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_POPUP_Resource.html
concept_or_overview	_Tools_PUSHBUTTON_Control	chm-windows-ce-3.0	PUSHBUTTON Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_PUSHBUTTON_Control.html
concept_or_overview	_Tools_RADIOBUTTON_Control	chm-windows-ce-3.0	RADIOBUTTON Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_RADIOBUTTON_Control.html
concept_or_overview	_Tools_RCDATA_Resource	chm-windows-ce-3.0	RCDATA Resource	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_RCDATA_Resource.html
concept_or_overview	_Tools_RTEXT_Control	chm-windows-ce-3.0	RTEXT Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_RTEXT_Control.html
concept_or_overview	_Tools_Resource_Definition_Statements	chm-windows-ce-3.0	Resource-Definition Statements	no_candidate	docs/chm/windows-ce-3.0/_Tools_Resource_Definition_Statements.html
concept_or_overview	_Tools_SCROLLBAR_Control	chm-windows-ce-3.0	SCROLLBAR Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_SCROLLBAR_Control.html
concept_or_overview	_Tools_STATE3_Control	chm-windows-ce-3.0	STATE3 Control	unrecognised_declaration_form	docs/chm/windows-ce-3.0/_Tools_STATE3_Control.html
prose_page_code_fragment	_Tools_STRINGTABLE_Resource	chm-windows-ce-3.0	STRINGTABLE Resource	matched	docs/chm/windows-ce-3.0/_Tools_STRINGTABLE_Resource.html
