#shard	records	path
acmdrv	19	devsurface/data/symbols/acmdrv.jsonl
addauto	6	devsurface/data/symbols/addauto.jsonl
advbacklight	2	devsurface/data/symbols/advbacklight.jsonl
af_irda	6	devsurface/data/symbols/af_irda.jsonl
appauto	2	devsurface/data/symbols/appauto.jsonl
appdefs	8	devsurface/data/symbols/appdefs.jsonl
armintr	97	devsurface/data/symbols/armintr.jsonl
atapi2	2	devsurface/data/symbols/atapi2.jsonl
autodial	10	devsurface/data/symbols/autodial.jsonl
autoras	2	devsurface/data/symbols/autoras.jsonl
av_upnp	140	devsurface/data/symbols/av_upnp.jsonl
avc_stream	50	devsurface/data/symbols/avc_stream.jsonl
avc_unit	34	devsurface/data/symbols/avc_unit.jsonl
avc_vcr	31	devsurface/data/symbols/avc_vcr.jsonl
avc_vvcr	28	devsurface/data/symbols/avc_vvcr.jsonl
aygshell	51	devsurface/data/symbols/aygshell.jsonl
battery	23	devsurface/data/symbols/battery.jsonl
battimpl	16	devsurface/data/symbols/battimpl.jsonl
blcommon	33	devsurface/data/symbols/blcommon.jsonl
bootabledevice	9	devsurface/data/symbols/bootabledevice.jsonl
bootpart	8	devsurface/data/symbols/bootpart.jsonl
bt_api	106	devsurface/data/symbols/bt_api.jsonl
bt_buffer	2	devsurface/data/symbols/bt_buffer.jsonl
bt_ddi	69	devsurface/data/symbols/bt_ddi.jsonl
bt_hcip	24	devsurface/data/symbols/bt_hcip.jsonl
btagnetwork	2	devsurface/data/symbols/btagnetwork.jsonl
btagpub	28	devsurface/data/symbols/btagpub.jsonl
bthapi	70	devsurface/data/symbols/bthapi.jsonl
bthid	2	devsurface/data/symbols/bthid.jsonl
bthsdpdef	18	devsurface/data/symbols/bthsdpdef.jsonl
buttonview	20	devsurface/data/symbols/buttonview.jsonl
cache.s	2	devsurface/data/symbols/cache.s.jsonl
calibrat.c	3	devsurface/data/symbols/calibrat.c.jsonl
calibrui	18	devsurface/data/symbols/calibrui.jsonl
cardserv	52	devsurface/data/symbols/cardserv.jsonl
cardsv2	42	devsurface/data/symbols/cardsv2.jsonl
ccbootstrap	7	devsurface/data/symbols/ccbootstrap.jsonl
ccceshcb	4	devsurface/data/symbols/ccceshcb.jsonl
cccommon	7	devsurface/data/symbols/cccommon.jsonl
ccconnection	27	devsurface/data/symbols/ccconnection.jsonl
ccdatastore	66	devsurface/data/symbols/ccdatastore.jsonl
ccdbgmsgcb	2	devsurface/data/symbols/ccdbgmsgcb.jsonl
cchannel	24	devsurface/data/symbols/cchannel.jsonl
cckitl	5	devsurface/data/symbols/cckitl.jsonl
ccserver	6	devsurface/data/symbols/ccserver.jsonl
ccservice	11	devsurface/data/symbols/ccservice.jsonl
ccservicecb	3	devsurface/data/symbols/ccservicecb.jsonl
ccserviceconfigure	5	devsurface/data/symbols/ccserviceconfigure.jsonl
ccsvchost	5	devsurface/data/symbols/ccsvchost.jsonl
cctransport	15	devsurface/data/symbols/cctransport.jsonl
cdioctl	38	devsurface/data/symbols/cdioctl.jsonl
ce_setup	6	devsurface/data/symbols/ce_setup.jsonl
cecap	8	devsurface/data/symbols/cecap.jsonl
ceddk	125	devsurface/data/symbols/ceddk.jsonl
celog	188	devsurface/data/symbols/celog.jsonl
cemgr	1	devsurface/data/symbols/cemgr.jsonl
cepubsub.h-for-development-workstation	12	devsurface/data/symbols/cepubsub.h-for-development-workstation.jsonl
cesync	159	devsurface/data/symbols/cesync.jsonl
ceutil	34	devsurface/data/symbols/ceutil.jsonl
cfwp2.c	8	devsurface/data/symbols/cfwp2.c.jsonl
client.c	1	devsurface/data/symbols/client.c.jsonl
cmnintr	8	devsurface/data/symbols/cmnintr.jsonl
cmnintrin	77	devsurface/data/symbols/cmnintrin.jsonl
comboboxview	6	devsurface/data/symbols/comboboxview.jsonl
comcat	26	devsurface/data/symbols/comcat.jsonl
commctrl	1515	devsurface/data/symbols/commctrl.jsonl
commctrl.h.se	1	devsurface/data/symbols/commctrl.h.se.jsonl
commctrlview	3	devsurface/data/symbols/commctrlview.jsonl
commdlg	38	devsurface/data/symbols/commdlg.jsonl
condio	2	devsurface/data/symbols/condio.jsonl
conman	8	devsurface/data/symbols/conman.jsonl
connection	20	devsurface/data/symbols/connection.jsonl
connectionstream	5	devsurface/data/symbols/connectionstream.jsonl
console	2	devsurface/data/symbols/console.jsonl
cpl	17	devsurface/data/symbols/cpl.jsonl
cpu	10	devsurface/data/symbols/cpu.jsonl
cred	6	devsurface/data/symbols/cred.jsonl
cred_prov	5	devsurface/data/symbols/cred_prov.jsonl
credmgr	4	devsurface/data/symbols/credmgr.jsonl
ctblt	2	devsurface/data/symbols/ctblt.jsonl
d3d8	131	devsurface/data/symbols/d3d8.jsonl
d3d8types	49	devsurface/data/symbols/d3d8types.jsonl
d3dcaps	3	devsurface/data/symbols/d3dcaps.jsonl
d3dhal	45	devsurface/data/symbols/d3dhal.jsonl
d3dm	115	devsurface/data/symbols/d3dm.jsonl
d3dmcaps	1	devsurface/data/symbols/d3dmcaps.jsonl
d3dmddk	67	devsurface/data/symbols/d3dmddk.jsonl
d3dmtypes	56	devsurface/data/symbols/d3dmtypes.jsonl
d3dtypes	3	devsurface/data/symbols/d3dtypes.jsonl
d3dx8math	34	devsurface/data/symbols/d3dx8math.jsonl
d3dx8tex	10	devsurface/data/symbols/d3dx8tex.jsonl
dbgapi	25	devsurface/data/symbols/dbgapi.jsonl
dccole	37	devsurface/data/symbols/dccole.jsonl
ddgpe	80	devsurface/data/symbols/ddgpe.jsonl
ddhal	2	devsurface/data/symbols/ddhal.jsonl
ddkreg	7	devsurface/data/symbols/ddkreg.jsonl
ddraw	313	devsurface/data/symbols/ddraw.jsonl
ddrawi	136	devsurface/data/symbols/ddrawi.jsonl
ddrawip	2	devsurface/data/symbols/ddrawip.jsonl
ddvdata	2	devsurface/data/symbols/ddvdata.jsonl
defragdisk	5	devsurface/data/symbols/defragdisk.jsonl
developer-defined	122	devsurface/data/symbols/developer-defined.jsonl
developer-implemented	13	devsurface/data/symbols/developer-implemented.jsonl
device	26	devsurface/data/symbols/device.jsonl
devload	6	devsurface/data/symbols/devload.jsonl
devmgmt	14	devsurface/data/symbols/devmgmt.jsonl
dinput	3	devsurface/data/symbols/dinput.jsonl
discodlg	1	devsurface/data/symbols/discodlg.jsonl
discodlg.h.-mstsax	149	devsurface/data/symbols/discodlg.h.-mstsax.jsonl
diskio	31	devsurface/data/symbols/diskio.jsonl
dmdls	8	devsurface/data/symbols/dmdls.jsonl
dmo	125	devsurface/data/symbols/dmo.jsonl
dmodshow	1	devsurface/data/symbols/dmodshow.jsonl
dmoimpl	15	devsurface/data/symbols/dmoimpl.jsonl
dmoreg	2	devsurface/data/symbols/dmoreg.jsonl
dmusicc	52	devsurface/data/symbols/dmusicc.jsonl
dmusicf	3	devsurface/data/symbols/dmusicf.jsonl
dmusici	106	devsurface/data/symbols/dmusici.jsonl
docobj	5	devsurface/data/symbols/docobj.jsonl
download	10	devsurface/data/symbols/download.jsonl
drmoutputleveltypes	1	devsurface/data/symbols/drmoutputleveltypes.jsonl
dsdriver	19	devsurface/data/symbols/dsdriver.jsonl
dsgetdc	3	devsurface/data/symbols/dsgetdc.jsonl
dshow	41	devsurface/data/symbols/dshow.jsonl
dsound	112	devsurface/data/symbols/dsound.jsonl
dvdata	315	devsurface/data/symbols/dvdata.jsonl
dvdcss	26	devsurface/data/symbols/dvdcss.jsonl
dvddata	4	devsurface/data/symbols/dvddata.jsonl
dvddrvr	82	devsurface/data/symbols/dvddrvr.jsonl
dvdioctl	2	devsurface/data/symbols/dvdioctl.jsonl
dvdmedia	1	devsurface/data/symbols/dvdmedia.jsonl
dvdnav	98	devsurface/data/symbols/dvdnav.jsonl
dvp	78	devsurface/data/symbols/dvp.jsonl
dwcedump	16	devsurface/data/symbols/dwcedump.jsonl
efilter	1	devsurface/data/symbols/efilter.jsonl
enumvariant	3	devsurface/data/symbols/enumvariant.jsonl
errorrep	1	devsurface/data/symbols/errorrep.jsonl
ethdbg	13	devsurface/data/symbols/ethdbg.jsonl
excpt	8	devsurface/data/symbols/excpt.jsonl
exdi	62	devsurface/data/symbols/exdi.jsonl
exdi2	150	devsurface/data/symbols/exdi2.jsonl
externs	20	devsurface/data/symbols/externs.jsonl
extfile	4	devsurface/data/symbols/extfile.jsonl
fatui	3	devsurface/data/symbols/fatui.jsonl
fatutil	7	devsurface/data/symbols/fatutil.jsonl
flexipmtinfo	8	devsurface/data/symbols/flexipmtinfo.jsonl
float	3	devsurface/data/symbols/float.jsonl
fmd	34	devsurface/data/symbols/fmd.jsonl
formatdisk	3	devsurface/data/symbols/formatdisk.jsonl
fsdmgr	125	devsurface/data/symbols/fsdmgr.jsonl
fsioctl	14	devsurface/data/symbols/fsioctl.jsonl
fwapi	40	devsurface/data/symbols/fwapi.jsonl
fwpc.c	11	devsurface/data/symbols/fwpc.c.jsonl
gcacheview	9	devsurface/data/symbols/gcacheview.jsonl
gdcfg.c	10	devsurface/data/symbols/gdcfg.c.jsonl
gdi	204	devsurface/data/symbols/gdi.jsonl
giisr	2	devsurface/data/symbols/giisr.jsonl
gpe	33	devsurface/data/symbols/gpe.jsonl
gwebypasscoredllthunk	120	devsurface/data/symbols/gwebypasscoredllthunk.jsonl
halether	37	devsurface/data/symbols/halether.jsonl
hcdddsi.h-or-ohcdddsi	19	devsurface/data/symbols/hcdddsi.h-or-ohcdddsi.jsonl
headerview	7	devsurface/data/symbols/headerview.jsonl
hiddi	13	devsurface/data/symbols/hiddi.jsonl
hidparse	1	devsurface/data/symbols/hidparse.jsonl
hidpddi	4	devsurface/data/symbols/hidpddi.jsonl
hidpi	77	devsurface/data/symbols/hidpi.jsonl
htmlctrl	20	devsurface/data/symbols/htmlctrl.jsonl
httpext	19	devsurface/data/symbols/httpext.jsonl
httpfilt	28	devsurface/data/symbols/httpfilt.jsonl
iaccess	13	devsurface/data/symbols/iaccess.jsonl
icmpapi	19	devsurface/data/symbols/icmpapi.jsonl
iexchangeclient	46	devsurface/data/symbols/iexchangeclient.jsonl
iflexiptminfo	1	devsurface/data/symbols/iflexiptminfo.jsonl
iltiming	3	devsurface/data/symbols/iltiming.jsonl
imaging	93	devsurface/data/symbols/imaging.jsonl
imjpskin	73	devsurface/data/symbols/imjpskin.jsonl
imm	338	devsurface/data/symbols/imm.jsonl
interned	1	devsurface/data/symbols/interned.jsonl
interned.h	2	devsurface/data/symbols/interned.h.jsonl
iosaccess	2	devsurface/data/symbols/iosaccess.jsonl
ipexport	10	devsurface/data/symbols/ipexport.jsonl
iphlpapi	96	devsurface/data/symbols/iphlpapi.jsonl
iprtrmib	38	devsurface/data/symbols/iprtrmib.jsonl
ipsec_api	8	devsurface/data/symbols/ipsec_api.jsonl
iptypes	30	devsurface/data/symbols/iptypes.jsonl
kato	66	devsurface/data/symbols/kato.jsonl
kernel	9	devsurface/data/symbols/kernel.jsonl
kerninst.c	5	devsurface/data/symbols/kerninst.c.jsonl
keybd	3	devsurface/data/symbols/keybd.jsonl
keybddr	24	devsurface/data/symbols/keybddr.jsonl
keybdmdd.cpp	6	devsurface/data/symbols/keybdmdd.cpp.jsonl
keybdpdd	5	devsurface/data/symbols/keybdpdd.jsonl
kfuncs	18	devsurface/data/symbols/kfuncs.jsonl
kitl	41	devsurface/data/symbols/kitl.jsonl
kitlclnt	7	devsurface/data/symbols/kitlclnt.jsonl
kitltran	30	devsurface/data/symbols/kitltran.jsonl
kmisc.c	2	devsurface/data/symbols/kmisc.c.jsonl
koreanimeui	28	devsurface/data/symbols/koreanimeui.jsonl
ktimer.c	1	devsurface/data/symbols/ktimer.c.jsonl
kwin32	1	devsurface/data/symbols/kwin32.jsonl
kxarm	9	devsurface/data/symbols/kxarm.jsonl
kxmips	5	devsurface/data/symbols/kxmips.jsonl
kxshx	8	devsurface/data/symbols/kxshx.jsonl
lap	10	devsurface/data/symbols/lap.jsonl
lass	1	devsurface/data/symbols/lass.jsonl
led_drvr	12	devsurface/data/symbols/led_drvr.jsonl
listboxview	3	devsurface/data/symbols/listboxview.jsonl
loadauth	4	devsurface/data/symbols/loadauth.jsonl
lockmgr	1	devsurface/data/symbols/lockmgr.jsonl
lockmgrhelp	3	devsurface/data/symbols/lockmgrhelp.jsonl
lockmgrtypes	1	devsurface/data/symbols/lockmgrtypes.jsonl
lt2pcfg	1	devsurface/data/symbols/lt2pcfg.jsonl
malloc	2	devsurface/data/symbols/malloc.jsonl
mdd.c	9	devsurface/data/symbols/mdd.c.jsonl
mediaqueryengine	48	devsurface/data/symbols/mediaqueryengine.jsonl
mem_arm	1	devsurface/data/symbols/mem_arm.jsonl
minish	10	devsurface/data/symbols/minish.jsonl
mipsintr	205	devsurface/data/symbols/mipsintr.jsonl
mkfuncs	5	devsurface/data/symbols/mkfuncs.jsonl
