#symbol	book_count	per_book(book|kind|header|library)
__assume	1	mslearn-windows-ce-5.0|unknown|Cmnintrin.h|
__CacheRelease	1	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
__CacheWriteback	1	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
__debugbreak	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
__declspec	1	mslearn-windows-ce-5.0|function||
__emit	2	mslearn-windows-ce-5.0|function|armintr.h|	mslearn-windows-embedded-ce-6.0|function|armintr.h|
__emul	3	mslearn-windows-ce-5.0|function|winnt.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
__emulu	3	mslearn-windows-ce-5.0|function|winnt.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
__fmac	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
__ll_lshift	3	mslearn-windows-ce-5.0|function|winnt.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
__ll_rshift	3	mslearn-windows-ce-5.0|function|winnt.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
__movca	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
__noop	1	mslearn-windows-ce-5.0|unknown|Cmnintrin.h|
__prefetch	1	mslearn-windows-ce-net-4x|function|shintr.h|
__regsize	3	mslearn-windows-ce-5.0|function|stdlib.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|stdlib.h|
__security_init_cookie	1	mslearn-windows-embedded-ce-6.0|function||corelibc.lib
__trap	1	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
__ull_rshift	3	mslearn-windows-ce-5.0|function|winnt.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
__VARIANT_NAME_4	2	mslearn-windows-ce-5.0|struct|Oaidl.h|	mslearn-windows-embedded-ce-6.0|struct||
_abs_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_abs_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_abs_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_abs_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_abs_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_add_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_add_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_add_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_add_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_add_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_add_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_AddSatInt	3	mslearn-windows-ce-5.0|function|Armintr.h|	mslearn-windows-ce-net-4x|function|Armintr.h|	mslearn-windows-embedded-ce-6.0|function|armintr.h|
_Alert	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_alloca	1	mslearn-windows-ce-5.0|function|malloc.h|coredll.dll
_alni_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_AM_FILTER_MISC_FLAGS	1	mslearn-windows-embedded-ce-6.0|enum||
_and_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_BucketResponse	1	mslearn-windows-embedded-ce-6.0|struct||DwUI.dll
_BuildVersion	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_byteswap_uint64	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
